SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
FILATFASH,Filatex Fashions Limited,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,1,09-Aug-24,09-Aug-24,-,-
AARTECH,Aartech Solonics Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,5,09-Aug-24,09-Aug-24,-,-
RUSHIL,Rushil Decor Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,09-Aug-24,09-Aug-24,-,-
KAPSTON,Kapston Services Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,5,09-Aug-24,09-Aug-24,-,-
SAPPHIRE,Sapphire Foods India Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,05-Sep-24,05-Sep-24,-,-
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,11-Sep-24,11-Sep-24,-,-
VBL,Varun Beverages Limited,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share,2,12-Sep-24,12-Sep-24,-,-
SPORTKING,Sportking India Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,13-Sep-24,13-Sep-24,-,-
KIMS,Krishna Institute of Medical Sciences Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,13-Sep-24,13-Sep-24,-,-
RPPL,Rajshree Polypack Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,5,17-Sep-24,18-Sep-24,-,-
NDL,Nandan Denim Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,19-Sep-24,19-Sep-24,-,-
SANGHVIMOV,Sanghvi Movers Limited,EQ,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,1,27-Sep-24,27-Sep-24,-,-
GPIL,Godawari Power And Ispat limited,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,1,04-Oct-24,04-Oct-24,-,-
JINDALSAW,Jindal Saw Limited,EQ,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,1,09-Oct-24,09-Oct-24,-,-
VAISHALI,Vaishali Pharma Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,15-Oct-24,15-Oct-24,-,-
POCL,Pondy Oxides & Chemicals Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,5,16-Oct-24,16-Oct-24,-,-
HEG,HEG Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,18-Oct-24,18-Oct-24,-,-
SUKHJITS,Sukhjit Starch & Chemicals Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,5,25-Oct-24,25-Oct-24,-,-
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,1,28-Oct-24,28-Oct-24,-,-
JASH,Jash Engineering Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,30-Oct-24,30-Oct-24,-,-
PREMIERPOL,Premier Polyfilm Limited,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,5,05-Nov-24,05-Nov-24,-,-
